# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-3051.03	11-9041.01	Primary-Short	Biofuels/Biodiesel Technology and Product Development Managers
11-3051.03	11-3051.04	Primary-Short	Biomass Power Plant Managers
11-3051.03	11-3051.02	Primary-Short	Geothermal Production Managers
11-3051.03	51-8013.03	Primary-Short	Biomass Plant Technicians
11-3051.03	11-3051.06	Primary-Long	Hydroelectric Production Managers
11-3051.03	51-8013.00	Primary-Long	Power Plant Operators
11-3051.03	51-8093.00	Primary-Long	Petroleum Pump System Operators, Refinery Operators, and Gaugers
11-3051.03	11-3051.00	Primary-Long	Industrial Production Managers
11-3051.03	11-3051.01	Primary-Long	Quality Control Systems Managers
11-3051.03	51-8013.04	Supplemental	Hydroelectric Plant Technicians
11-3051.03	51-8092.00	Supplemental	Gas Plant Operators
11-3051.03	51-8091.00	Supplemental	Chemical Plant and System Operators
11-3051.03	17-2041.00	Supplemental	Chemical Engineers
11-3051.03	17-2112.03	Supplemental	Manufacturing Engineers
11-3051.03	17-2199.03	Supplemental	Energy Engineers, Except Wind and Solar
11-3051.03	11-9199.10	Supplemental	Wind Energy Development Managers
11-3051.03	11-9199.09	Supplemental	Wind Energy Operations Managers
11-3051.03	17-2112.00	Supplemental	Industrial Engineers
